Participant ID,Task ID,Method,Round,Attempts,Time
1,1,k,1,1,35.72
2,1,k,1,1,44.96
3,1,k,1,1,14.81
4,1,k,1,1,29.12
5,1,k,1,1,37.64
6,1,k,1,1,23.63
7,1,k,1,1,20.25
8,1,k,1,1,27.78
9,1,k,1,1,34.43
10,1,k,1,1,20.72
1,1,k,2,1,34.21
2,1,k,2,2,30.57
3,1,k,2,2,19.33
4,1,k,2,2,19.26
5,1,k,2,1,22.25
6,1,k,2,1,17.04
7,1,k,2,1,17.8
8,1,k,2,1,20.53
9,1,k,2,1,25.83
10,1,k,2,1,15.41
1,1,k,3,1,26.22
2,1,k,3,1,21.84
3,1,k,3,1,21.12
4,1,k,3,1,15.41
5,1,k,3,1,18.83
6,1,k,3,1,17.19
7,1,k,3,1,15.5
8,1,k,3,1,18.06
9,1,k,3,1,23.03
10,1,k,3,1,14.73
1,1,t,1,1,29.54
2,1,t,1,1,33.38
3,1,t,1,1,26.98
4,1,t,1,1,34.31
5,1,t,1,1,33.52
6,1,t,1,1,35.04
7,1,t,1,1,20.65
8,1,t,1,1,39.69
9,1,t,1,1,30.69
10,1,t,1,1,20.63
1,1,t,2,1,23.62
2,1,t,2,2,37.33
3,1,t,2,1,22.36
4,1,t,2,1,20.54
5,1,t,2,1,22.54
6,1,t,2,1,21.58
7,1,t,2,1,16.89
8,1,t,2,1,33.83
9,1,t,2,1,30.18
10,1,t,2,1,18.97
1,1,t,3,1,27.89
2,1,t,3,1,32.26
3,1,t,3,1,20.58
4,1,t,3,1,18.9
5,1,t,3,1,26.95
6,1,t,3,1,22.35
7,1,t,3,1,15.21
8,1,t,3,1,32.66
9,1,t,3,1,31.86
10,1,t,3,1,15.49
1,2,k,1,1,38.03
2,2,k,1,1,39.12
3,2,k,1,1,19.25
4,2,k,1,1,34.33
5,2,k,1,1,41.26
6,2,k,1,1,21.54
7,2,k,1,1,25.67
8,2,k,1,1,42.94
9,2,k,1,1,55.09
10,2,k,1,2,19.87
1,2,k,2,1,28.8
2,2,k,2,1,26.8
3,2,k,2,1,17.3
4,2,k,2,1,15.69
5,2,k,2,1,44.58
6,2,k,2,1,21.11
7,2,k,2,1,34.87
8,2,k,2,1,24.88
9,2,k,2,1,33.75
10,2,k,2,1,20.74
1,2,k,3,1,31.6
2,2,k,3,1,29.39
3,2,k,3,1,15.26
4,2,k,3,2,18.7
5,2,k,3,1,51.47
6,2,k,3,1,18.78
7,2,k,3,1,19.69
8,2,k,3,1,27.87
9,2,k,3,2,36.22
10,2,k,3,1,28.39
1,2,t,1,1,29.98
2,2,t,1,1,35.54
3,2,t,1,4,37.51
4,2,t,1,2,38.25
5,2,t,1,1,68.55
6,2,t,1,1,40.07
7,2,t,1,2,34.22
8,2,t,1,1,55.21
9,2,t,1,1,45.03
10,2,t,1,1,24.85
1,2,t,2,1,34.93
2,2,t,2,2,30.17
3,2,t,2,1,36.66
4,2,t,2,1,43.4
5,2,t,2,1,63.89
6,2,t,2,1,37.28
7,2,t,2,1,30.51
8,2,t,2,1,49.68
9,2,t,2,1,48.22
10,2,t,2,1,19.94
1,2,t,3,1,35.51
2,2,t,3,1,52.24
3,2,t,3,1,37.05
4,2,t,3,1,43.29
5,2,t,3,1,41.32
6,2,t,3,1,40.51
7,2,t,3,2,27.93
8,2,t,3,1,43.94
9,2,t,3,1,30.07
10,2,t,3,1,26.87
1,3,k,1,1,27.11
2,3,k,1,4,42.38
3,3,k,1,1,20.31
4,3,k,1,2,36.18
5,3,k,1,1,46.26
6,3,k,1,1,32.16
7,3,k,1,2,34.47
8,3,k,1,2,80.65
9,3,k,1,2,58.66
10,3,k,1,1,22.07
1,3,k,2,1,28.85
2,3,k,2,2,42.44
3,3,k,2,1,25.92
4,3,k,2,1,37.5
5,3,k,2,1,55.12
6,3,k,2,1,28.86
7,3,k,2,1,35.2
8,3,k,2,1,51.51
9,3,k,2,1,66.96
10,3,k,2,6,28.91
1,3,k,3,1,23.96
2,3,k,3,1,60.64
3,3,k,3,1,16.7
4,3,k,3,1,21.96
5,3,k,3,1,38.47
6,3,k,3,1,27.03
7,3,k,3,1,28.52
8,3,k,3,2,34.94
9,3,k,3,3,30.53
10,3,k,3,1,22.11
1,3,t,1,1,26.99
2,3,t,1,1,71.45
3,3,t,1,1,55.86
4,3,t,1,4,58.66
5,3,t,1,1,52.9
6,3,t,1,1,37.27
7,3,t,1,1,32.92
8,3,t,1,4,53.48
9,3,t,1,1,53.3
10,3,t,1,3,33.22
1,3,t,2,1,26.43
2,3,t,2,1,62.63
3,3,t,2,1,35.76
4,3,t,2,3,56.84
5,3,t,2,1,46.81
6,3,t,2,1,41.35
7,3,t,2,1,25.73
8,3,t,2,2,53.72
9,3,t,2,1,34.62
10,3,t,2,3,52.17
1,3,t,3,1,20.81
2,3,t,3,1,52.25
3,3,t,3,2,24.85
4,3,t,3,2,54.52
5,3,t,3,1,48.21
6,3,t,3,1,32.64
7,3,t,3,1,27.39
8,3,t,3,1,35.23
9,3,t,3,1,38.32
10,3,t,3,4,48.1
